iata_code,name,city,state,lat,lon,arr_flights,arr_del15,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
ABQ,Albuquerque International Sunport,Albuquerque,NM,35.04022,-106.60919,1737.0,362.0,22768.0,10153.0,1387.0,1941.0,43.0,9244.0
ALB,Albany International Airport,Albany,NY,42.74812,-73.80298,395.0,57.0,3351.0,2075.0,0.0,349.0,12.0,915.0
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,35.21937,-101.70593,231.0,81.0,5071.0,2249.0,42.0,313.0,0.0,2467.0
ATL,Ted Stevens Anchorage International Airport,Anchorage,AK,61.17432,-149.99619,443.0,112.0,6604.0,2810.0,970.0,1244.0,0.0,1580.0
AUS,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,7157.0,1480.0,98449.0,41490.0,4539.0,14086.0,419.0,37915.0
AVP,Austin-Bergstrom International Airport,Austin,TX,30.19453,-97.66987,11108.0,2073.0,132695.0,53752.0,8069.0,20385.0,613.0,49876.0
BDL,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,41.33815,-75.72427,83.0,10.0,538.0,349.0,0.0,98.0,5.0,86.0
BHM,Bradley International Airport,Windsor Locks,CT,41.93887,-72.68323,2437.0,484.0,28220.0,12020.0,2528.0,3694.0,164.0,9814.0
BNA,Bangor International Airport,Bangor,ME,44.80744,-68.82814,164.0,17.0,931.0,275.0,15.0,44.0,0.0,597.0
BOI,Birmingham-Shuttlesworth International Airport,Birmingham,AL,33.56294,-86.75355,503.0,194.0,14130.0,4605.0,1844.0,890.0,0.0,6791.0
BOS,Nashville International Airport,Nashville,TN,36.12448,-86.67818,6539.0,1122.0,76440.0,30650.0,3004.0,7918.0,194.0,34674.0
BUF,Boise Airport (Boise Air Terminal),Boise,ID,43.56444,-116.22278,1073.0,182.0,12712.0,5956.0,182.0,884.0,43.0,5647.0
BUR,Gen. Edward Lawrence Logan International Airport,Boston,MA,42.36435,-71.00518,14176.0,2174.0,153434.0,60078.0,10604.0,19210.0,454.0,63088.0
BWI,Buffalo Niagara International Airport,Buffalo,NY,42.94052,-78.73217,950.0,247.0,15681.0,5951.0,649.0,1746.0,76.0,7259.0
BZN,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,34.20062,-118.3585,916.0,157.0,9787.0,3575.0,511.0,1567.0,79.0,4055.0
CHS,Baltimore-Washington International Airport,Baltimore,MD,39.1754,-76.6682,3557.0,728.0,41414.0,18195.0,2883.0,5208.0,383.0,14745.0
CLE,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,45.7769,-111.15301,1180.0,245.0,13535.0,5507.0,1307.0,3131.0,100.0,3490.0
CLT,Columbia Metropolitan Airport,Columbia,SC,33.93884,-81.11954,353.0,116.0,7568.0,4208.0,310.0,587.0,0.0,2463.0
CMH,Charleston International Airport/Charleston AFB,Charleston,SC,32.89865,-80.04051,1779.0,415.0,27662.0,11120.0,1337.0,2051.0,166.0,12988.0
COS,Cleveland Hopkins International Airport,Cleveland,OH,41.41089,-81.8494,2349.0,602.0,36847.0,15919.0,1600.0,5627.0,144.0,13557.0
CVG,Charlotte Douglas International Airport,Charlotte,NC,35.21401,-80.94313,89418.0,10914.0,922877.0,428660.0,43167.0,111215.0,3433.0,336402.0
DCA,Port Columbus International Airport,Columbus,OH,39.99799,-82.89188,2184.0,385.0,21402.0,9203.0,1206.0,2238.0,7.0,8748.0
DEN,City of Colorado Springs Municipal Airport,Colorado Springs,CO,38.80581,-104.70025,1321.0,250.0,15618.0,6796.0,1720.0,1973.0,24.0,5105.0
DFW,Cincinnati/Northern Kentucky International Airport,Covington,KY,39.04614,-84.66217,1302.0,273.0,15771.0,5866.0,495.0,2264.0,0.0,7146.0
DSM,Daytona Beach International Airport,Daytona Beach,FL,29.17992,-81.05806,4.0,1.0,117.0,39.0,0.0,0.0,0.0,78.0
DTW,Ronald Reagan Washington National Airport,Arlington,VA,38.85208,-77.03772,17538.0,2472.0,183179.0,63003.0,12962.0,27218.0,611.0,79385.0
EGE,Denver International Airport,Denver,CO,39.85841,-104.667,9768.0,1872.0,118809.0,41818.0,11742.0,27858.0,517.0,36874.0
ELP,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,132190.0,23342.0,2044456.0,727937.0,112668.0,396887.0,4896.0,802068.0
EUG,Des Moines International Airport,Des Moines,IA,41.53493,-93.66068,1322.0,308.0,22801.0,8307.0,778.0,1603.0,45.0,12068.0
EWR,Detroit Metropolitan Airport,Detroit,MI,42.21206,-83.34884,3226.0,586.0,33650.0,16344.0,2857.0,3246.0,314.0,10889.0
FAT,Eagle County Regional Airport,Eagle,CO,39.64257,-106.9177,1191.0,243.0,19613.0,6643.0,2443.0,5726.0,75.0,4726.0
FLL,El Paso International Airport,El Paso,TX,31.80667,-106.37781,2435.0,607.0,41646.0,17214.0,2480.0,3401.0,68.0,18483.0
GEG,Eugene Airport (Mahlon Sweet Field),Eugene,OR,44.12326,-123.21869,209.0,49.0,4262.0,1830.0,103.0,259.0,0.0,2070.0
GRR,Newark Liberty International Airport,Newark,NJ,40.6925,-74.16866,5841.0,1356.0,90970.0,31896.0,9333.0,25613.0,518.0,23610.0
GSO,Fairbanks International Airport,Fairbanks,AK,64.81368,-147.85967,272.0,75.0,5046.0,2789.0,557.0,547.0,24.0,1129.0
GSP,Fresno Yosemite International Airport,Fresno,CA,36.77619,-119.71814,1463.0,268.0,15753.0,8978.0,831.0,1798.0,0.0,4146.0
GUC,Glacier Park International Airport,Kalispell,MT,48.3114,-114.25507,342.0,57.0,2825.0,1314.0,155.0,667.0,0.0,689.0
HDN,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,26.07258,-80.15275,7315.0,1216.0,72157.0,29755.0,4841.0,14093.0,411.0,23057.0
HNL,Spokane International Airport,Spokane,WA,47.61986,-117.53384,1293.0,279.0,17597.0,7759.0,1341.0,2263.0,0.0,6234.0
IAD,Gerald R. Ford International Airport,Grand Rapids,MI,42.88082,-85.52277,763.0,155.0,9435.0,4148.0,729.0,701.0,1.0,3856.0
