month,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
1,278475.0,113424.0,24319.0,77660.0,1096.0,61976.0
2,324754.0,124260.0,56977.0,67415.0,1221.0,74881.0
3,337358.0,153977.0,15299.0,69907.0,1678.0,96497.0
4,380888.0,167808.0,18826.0,76799.0,3631.0,113824.0
5,710996.0,276668.0,59196.0,133169.0,2390.0,239573.0
6,1365493.0,520820.0,90226.0,204392.0,4539.0,545516.0
7,1359898.0,510558.0,83870.0,184884.0,4329.0,576257.0
8,1287333.0,508719.0,104019.0,190978.0,3647.0,479970.0
9,660670.0,282434.0,28414.0,97654.0,2629.0,249539.0
10,969950.0,427535.0,24337.0,135218.0,3274.0,379586.0
11,724164.0,348217.0,8190.0,63225.0,3157.0,301375.0
12,761511.0,330707.0,12236.0,102342.0,3453.0,312773.0
